Sooo Manti Te'o was having a online/phone relationship with a guy pretendingto be a female -_-	Manti Te'o was having a relationship via telephone/internet with a man pretending to be female.	Manti Te'o was talkin' on the phone or computer with some fella pretendin' to be a gal.
this lil girl aint going to win im the king of thisshe better fall back ....	The little girl is not going to win because i am the king, soshe needs to stop what she is doing	The little girl ain't gonna win 'cause I'm the king, so she better quit what she's doin'.
He up stairs rights now and I'm down here getting ready its aboutto go down nite nite	He is upstairs rights now and I'm down here getting ready. It’s aboutto go down. Nite nite.	He's up there in the bedroom right now, and I'm down here fixin' myself up. It's about to get started. Goodnight.
Shit I Am Who Am..Fresh up out of Apologize..I'm Doing It For SHAQ & My KIDS That's MY ATTITUDE THIS YEAROR MOVE THE FUCK AROUND	Shit, I am who I am. I'm done apologizing. I'm doing it for Shaq and my kids, that's my attitude this yearand if you don't like it, get out	Shit, I is who I is. I'm done makin' apologies. I'm doin' it for Shaq and my kiddos, that's my attitude this year. If you don't like it, get on out.
It's very rare that I get what I want. Now that it has happened I don't plan onloosing it no matter what	It is very rare that I get what I want, but now that is has happened, I do not plan onlosing it, no matter the cost	It's real rare for me to git what I want, but now that I got it, I ain't gonna give it up, no matter the cost.
Shout out to nestboy vick he cold n that rapping sht keep drop.nthem tracks im one em	A quick shout out to Nestboy Vick as he is good at rapping. Keep releasingthe track as I want them	Hey y'all, real quick, give it up for Nestboy Vick! He's a rapper and he's darn good at it. Keep puttin' out them tracks, Vick, 'cause I sure do wanna hear 'em!
Miami BostonJames Points: 34 Reb: 16 Ast: 7 Stl: 3 Blk: 1 Garnett Points: 24 Reb: 11 Ast:4 Stl: 2 Blk: 3	Miami Heat Player Lebron James had 34 points, 16 rebounds, 7 assists, 3 steals, and 1 block. Whereas Boston Celtics Player Kevin Garnett had 24 points, 11 rebounds, 4 assists,2 steals, and 3 blocks	Miami Heat player LeBron James had 34 points, 16 rebounds, 7 assists, 3 steals, and 1 block. But Boston Celtics player Kevin Garnett had 24 points, 11 rebounds, 4 assists, 2 steals, and 3 blocks.
Boy you can say anything you wanna I don't give a shit, noone else can have ya	You can say anything you want to, I don't care, noone else can have you	You can say whatever the hell you please, I don't give a damn, nobody else can have you.
3:05 when that bell ring I'm hunging my bae and running out of PSM by 3:45 I should be at housethen it's turn up time!	At 3:05, when the bell rings, I'm saying bye to my significant other and running out of PSM. By 3:45, I should be homeThen it's time to part	At 3:05, when that ol' bell rings, I'm hollerin' goodbye to my sweetheart and scootin' on outta PSM. By 3:45, I reckon I'll be home then, an' it's time for us to part ways.
Wen u kall a nigga fone n he dont answer dat mean he nevagave a fuck about it	When you call a person's phone and they don't answer that means they never cared about it.Cared about it	When you give a person a call on their phone and they don't pick up, that means they never gave a hoot 'bout it.Hoot 'bout it
I aint tryna see no twerk videos on my TL kuz yallhoes kant twerk fo nun	I do not want to see twerking videos on my timeline because thesepeople do not know how to twerk	I don't wanna see no twerkin' vids on my timeline 'cause them folks don't know how to twerk proper.
that was suppose to be a tweet lol I don't how the hell I dm thatto you my bad lol	That was supposed to be a tweet but, that was funny.   I don't know how the hell I done thatto you, my bad, it was funny though	That was gonna be a tweet but, that there was funny. I don't know how in tarnation I did that to you, my apologies, it was funny though.
This group of 5 year olds just tried to holla at me! Lol when I told them how oldI was they scattered lol	This group of five-year-olds just tried to holler at me! That’s funny. When I told them how oldI was, they scattered. I’m laughing!	This here group of five-year-olds done tried to hit on me! Ain't that somethin'? When I told 'em my age, they took off like a herd of cats. I'm just sittin' here laughin' about it!
Anybody else got one of those TV's where every movie looks super fake? They made these TV's toogood" mine is like that	Does anyone else have a TV that makes every movie look very fake? These TV’s are made too well. Mine is like that.	Y'all got one them TV's that makes every movie seem real fake? Them TV's is made too good. Mine's the same way.
who made amy dress for the finale the red one atthe end please tell me	Who made Amy's dress for the finale, the red one at the end. Please, tell me.the end. Please, tell me	Who made that there red dress of Amy's for the finales? I do declare, please tell me. The end. Please, tell me.
