,pairs,loss,sen_sim,normalized_loss,score
0,"(""Yo, what's good fam? Ain't none a' y'all seen dat new sci-fi show on Netflix? It's lit, fo shizzle."", ""Hello everyone, have any of you watched the latest sci-fi series on Netflix? It's quite impressive."")",-0.4338695704936981,-0.6961418390274048,-1.0,-1.6961418390274048
3,"(""Yo, check dis out! Dis new restaurant in town got dis amazing shrimp and grits. It's a real taste bud explosion."", 'Hello, have you tried the new restaurant in town? Their shrimp and grits are absolutely delicious and a true delight for the taste buds.')",-0.3710792362689972,-0.7843034863471985,-0.7410721984514153,-1.5253756847986137
1,"(""Man, dat old lady down de street, she always got sumthin' to say 'bout dem kids playin' in da yard. She thinks they too loud and disruptive."", 'That old woman down the street always complains about the children playing in the yard. She believes they are too noisy and disruptive.')",-0.007536205928772688,-0.7302230000495911,0.7580661446802999,0.027843144630708805
4,"(""Aye, my cousin just got dis new job offer, but he ain't too sure if he should take it. He don't wanna leave da hood and start over in dis other town."", 'My cousin has been offered a new job opportunity, but he is hesitant to leave his current area and start anew in this other town.')",-0.011358143761754036,-0.6919858455657959,0.7423056622275734,0.05031981666177754
2,"(""I ain't tryna disrespect ya, but dat new rapper ain't really got it like dat OG, you hear me?"", ""I'm not trying to disrespect you, but that new rapper doesn't quite compare to the original one, you know?"")",0.05113307386636734,-0.7292470932006836,1.0,0.2707529067993164
1,"(""She be talkin' 'bout love, but she ain't got no game."", ""She often speaks about love, but her actions don't demonstrate it."")",-0.30289149284362793,-0.4748717248439789,-1.0,-1.4748717248439789
3,"(""They was chillin' at the cypher, spittin' some fire rhymes."", 'They were hanging out at the rap battle, composing intense verses.')",-0.2506440579891205,-0.6517529487609863,-0.7860287691359968,-1.4377817178969832
0,"(""Yo' boy done went and stole them apples from the corner store."", 'A young man took apples from the store near the corner.')",-0.1012796014547348,-0.701428234577179,-0.1743299038999706,-0.8757581384771496
2,"(""He done graduated top of his class, but now he's struggle to find a job."", ""He graduated at the top of his class, but now he's having difficulty finding employment."")",-0.004977307748049498,-0.9408907890319824,0.2200611389680125,-0.7208296500639699
4,"(""My grandmama use to make the best fried chicken, but now they don't make it like that no more."", ""My grandma used to make the tastiest fried chicken, but it's not made that way anymore."")",0.1854679435491562,-0.9308696985244751,1.0,0.0691303014755249
