,pairs,loss,sen_sim,normalized_loss,score
4,"(""Bless my soul, look at that rain! It's comin' down in sheets."", ""Bless my soul, look at that rain! It's coming down in torrents."")",-0.19677114486694336,-0.9519003629684448,-1.0,-1.9519003629684448
0,"(""Y'all ever hear 'bout them new electric cars? They say they're the future of transportation."", ""Have you ever heard about those new electric cars? They claim they're the future of transportation."")",-0.1688004583120346,-0.9051157236099243,-0.6779632336564682,-1.5830789572663924
3,"(""That boy done stole my wallet, but I ain't gonna report 'im to the cops."", ""That boy stole my wallet, but I'm not going to report him to the police."")",-0.09774934500455856,-0.7677690982818604,0.14007427606750844,-0.6276948222143519
1,"(""Man, dat old house ain't worth a dime. I bet it'll collapse any day now."", ""Man, that old house isn't worth anything. I'd bet my last dollar it'll collapse any day now."")",-0.036743756383657455,-0.9149250388145447,0.8424539781099292,-0.07247106070461551
2,"('My grandma always says, ""If it ain\'t broke, don\'t fix it.""', 'My grandmother always says, ""If it isn\'t broken, don\'t fix it.""')",-0.023060007020831108,-0.9454302191734314,1.0,0.054569780826568604
0,"(""Y'all ever tried makin' a left hand turn at the intersection of Elm and Pine?"", 'Have you ever attempted to make a left-hand turn at the intersection of Elm and Pine?')",-0.16915562748908997,-0.876489520072937,-1.0,-1.876489520072937
3,"(""My mama used to say that a frog's got more hearts than a human."", 'My mother used to say that a frog has more hearts than a human being.')",-0.06180872395634651,-0.9636700749397278,0.25396560624738873,-0.709704468692339
2,"('Bless your heart, that gumbo is mighty tasty.', ""You're very kind, that gumbo is quite delicious."")",-0.06581874936819077,-0.8727844953536987,0.2071227651299743,-0.6656617302237244
1,"('I done seen a bear in them woods yonder once.', 'I have once seen a bear in the woods over there.')",-0.06721022725105286,-0.8317165374755859,0.19086831018493,-0.6408482272906559
4,"('Them alligators sure do love to sunbathe on them logs.', 'Alligators seem to enjoy sunbathing on those logs.')",0.002056251047179103,-0.9113710522651672,1.0,0.08862894773483276
