,pairs,loss,sen_sim,normalized_loss,score
1,"(""I done told that computer to learn me some Southern history, but it keeps spittin' out facts 'bout them damn Yankees."", 'I instructed the computer to teach me Southern history, but it keeps providing information about the Yankees instead.')",-0.20150130987167358,-0.7712227702140808,-1.0,-1.7712227702140808
0,"(""Y'all ever notice how them new fancy electric cars don't got no good ol' horn?"", ""Have you observed that new electric cars don't have traditional car horns?"")",-0.07784780114889145,-0.724990963935852,-0.3056938441773265,-1.0306848081131785
2,"(""My grandma used to make the best biscuits, but these store-bought ones just ain't the same."", 'My grandmother made delicious biscuits, but the store-bought ones are not as good.')",-0.04654731974005699,-0.8638221621513367,-0.12994374095067251,-0.9937659031020092
3,"(""I ain't never gonna let that machine learn me how to fix a car, I'm the one with the skills."", 'I will never allow the machine to teach me how to repair a car, I already possess the necessary skills.')",0.07531993836164474,-0.7483891248703003,0.5543327374704596,-0.19405638739984066
4,"('Mama always told me to be wary of them strangers, and I still believe her.', 'My mother always advised me to be cautious around strangers, and I still hold that belief.')",0.15469172596931458,-0.9113758206367493,1.0,0.08862417936325073
3,"(""I reckon I'll just set myself down a spell and watch the sunset."", ""I suppose I'll just sit down for a while and watch the sunset."")",-0.11311475187540054,-0.8872984051704407,-1.0,-1.8872984051704407
2,"(""That there new gadget sure is purty, but I bet it don't work worth a lick."", ""The new device is certainly attractive, but I suspect it won't function effectively."")",-0.03156387433409691,-0.707088828086853,-0.011092597110395896,-0.7181814251972489
0,"(""Y'all ever notice how them cats always runnin' away when you try to feed 'em?"", 'Have you ever observed that cats always escape when you try to feed them?')",0.005843699909746647,-0.7659398913383484,0.44252149275814623,-0.32341839858020216
4,"('Bless my soul, that pie smells just like grandma used to make it.', 'Good heavens, that pie smells just like my grandmother used to make it.')",0.031699039041996,-0.9568440318107605,0.7560501394505472,-0.20079389236021328
1,"('My mama always said that if you want something done right, you gotta do it yaself.', 'My mother used to say that if you want something done properly, you have to do it yourself.')",0.05181651934981346,-0.860460638999939,1.0,0.13953936100006104
4,"(""If that computer can't handle our Southern drawl, then it ain't worth nothin'."", ""If that computer can't decipher our Southern accent, then it's not worth anything."")",-0.11593158543109894,-0.8275110125541687,-1.0,-1.8275110125541687
