,pairs,loss,sen_sim,normalized_loss,score
3,"(""Yo, I been tryin' ta learn ta play that guitar but man it's hard. "", ""'Learning a new skill takes time and dedication, keep practicing and don't get discouraged.'"")",-0.3684249520301819,-0.6351646780967712,-1.0,-1.6351646780967712
4,"(""Yo, what's the deal with these long lines at the post office, man? "", ""'It seems there may be an issue with the current volume of customers, please be patient and you'll be served soon.'"")",-0.23093968629837036,-0.5985318422317505,-0.35413827748151216,-0.9526701197132627
0,"(""Yo, what's good, G? I was just tryna get some ice cream but they didn't have none of that Cookies 'n Cream I been cravin'. "", ""'I'm sorry, that's not available at the moment. Let me suggest another flavor for you.'"")",-0.13544140756130219,-0.6211909651756287,0.09448203447968617,-0.5267089306959425
1,"(""Yo, my homie just got himself a fancy new car. Ain't that somethin', "", ""'Yes, that's quite an impressive vehicle.'"")",-0.12289229780435562,-0.5669997930526733,0.1534337308709579,-0.41356606218171543
2,"('Yo, my mama used to make the best fried chicken ever. ', ""'Fried chicken is definitely a popular dish.'"")",0.057317156344652176,-0.7287008166313171,1.0,0.27129918336868286
2,"(""Dis here AI be trippin' over dis here slang tho, innit?"", 'Does this AI struggle with this slang?')",-0.24240905046463013,-0.4860387444496155,-1.0,-1.4860387444496155
1,"(""A'ight, dis here AI ain't trippin' on my accent, is it?"", 'Is this AI being affected by my accent?')",-0.1740792691707611,-0.5882543325424194,-0.3516464459764167,-0.9399007785188361
3,"(""Yo, dis here AI be thinkin' dis here is some kinda joke, ain't it?"", 'Is this AI taking this seriously?')",-0.17065457999706268,-0.5640583038330078,-0.3191509607699875,-0.8832092646029953
4,"(""Dis here AI be gettin' all confused wit dis here jargon from dis here field, right?"", 'Does this AI have trouble understanding the technical jargon from this field?')",-0.1239403784275055,-0.5453174710273743,0.12410113278989665,-0.4212163382374776
0,"(""Yo' dawg, dis here ai assistant helpin' yung kids wit they homeworke?"", 'Is this assistant helping young students with their homework?')",-0.031629666686058044,-0.5563389658927917,1.0,0.44366103410720825
0,"(""Yo' mans be always tryna holla at my sis, but she ain't with that weak sauce."", ""My brother's friends keep trying to hit on my sister, but she's not interested."")",-0.4242682456970215,-0.5014504790306091,-1.0,-1.5014504790306091
3,"(""We gotta stick together, my people, cause they ain't gonna make it easy for us out here."", ""We need to stick together, my community, because they won't make it easy for us out here."")",-0.15257440507411957,-0.8262853026390076,0.5489204668959571,-0.2773648357430505
1,"(""Ain't no way I'ma let these cats come between my boy and his main girl, they don't understand loyalty."", ""I won't allow these guys to come between my friend and his girlfriend, they don't grasp the concept of loyalty."")",-0.1567063331604004,-0.7569848895072937,0.5253644379263289,-0.23162045158096478
2,"(""If y'all ain't got nothin' nice to say, then don't say nothin' at all, that's some hateful energy."", ""If you don't have anything nice to say, then don't say anything at all, that's spreading negative energy."")",-0.11835004389286041,-0.805060625076294,0.7440327792640105,-0.06102784581228349
4,"(""I ain't got no time for these clowns, they always trippin' and causing a scene."", ""I don't have time for these guys, they're always causing a commotion and tripping out."")",-0.0734512135386467,-0.847970724105835,1.0,0.15202927589416504
3,"(""Yo, dis AI be tryna act like it's one of us, but it ain't got a clue 'bout our community."", ""This AI is trying to fit in with our community, but it doesn't truly understand our society."")",-0.2608623802661896,-0.638186514377594,-1.0,-1.638186514377594
0,"(""Yo' dawg, I heard dis here AI learns to read emotion in people's writin'."", ""I've heard this AI is quite proficient in analyzing emotions from written texts."")",-0.24421294033527374,-0.6415149569511414,-0.8692760714576954,-1.5107910284088368
2,"(""Man, I bet this AI can't handle all the colloquialisms we throw around. It ain't got the street smarts."", 'I bet this AI will struggle with the colloquialisms we use. It lacks the urban intelligence.')",-0.15979620814323425,-0.8469197154045105,-0.20647378425547236,-1.053393499659983
1,"(""Ain't it somethin' how this here model be thinkin' it can understand our culture just cuz it read some books?"", ""Isn't it remarkable how this model believes it can grasp our culture merely by reading some books?"")",-0.1259925812482834,-0.7437217831611633,0.05893711995643969,-0.6847846632047236
4,"(""I'm curious if this AI can keep up with our slang. I got a feeling it's gonna be left in the dust."", ""I'm intrigued to see if this AI can keep pace with our vernacular. I suspect it will fall behind."")",-0.0061356425285339355,-0.848423421382904,1.0,0.15157657861709595
1,"(""She be talkin' bout her mama's homemade sweet potato pie, but I bet she don't know how to make it herself."", ""She often talks about her mother's homemade sweet potato pie, but I doubt she can make it herself."")",-0.14175380766391754,-0.7711914777755737,-1.0,-1.7711914777755737
3,"(""Dat old lady down de street got dem good cookin skills an' always feeds da stray cats."", 'The old lady down the street has excellent cooking skills and always feeds the stray cats.')",-0.04106499254703522,-0.7022088766098022,-0.13562405578375225,-0.8378329323935545
2,"(""Dat new restaurant in de hood serve up some good grits, but dem prices be high fo' dis community."", 'The new restaurant in the neighborhood serves excellent grits, but the prices are too high for this community.')",0.01783081516623497,-0.6455079913139343,0.3699744989657594,-0.2755334923481749
4,"(""He done graduated an' got a good job, but den he went back to dem old ways an' ended up in jail once more."", 'He graduated and got a good job, but then he went back to his old ways and ended up in jail once more.')",0.060752734541893005,-0.831175684928894,0.7384431768903192,-0.0927325080385748
0,"(""Yo' boy done hit dat thang wiff a bat an' run off, but den he came right back an' apologized."", 'The boy hit that thing with a bat and ran away, but he returned to apologize later on.')",0.09122078120708466,-0.6400501132011414,1.0,0.35994988679885864
2,"('I done seen some crazy stuff in dis world, ', ""I've witnessed some incredible things in this world."")",-0.23050886392593384,-0.6366404294967651,-1.0,-1.6366404294967651
4,"(""My peeps be talkin' 'bout dis new trend, "", 'My friends are discussing this latest fashion.')",-0.22765642404556274,-0.5144369006156921,-0.9673400145539661,-1.4817769151696583
1,"('Word up, sis! I done got me a new j-o-b, ', ""I've just secured a new employment opportunity."")",-0.21909238398075104,-0.6015141606330872,-0.8692831104275194,-1.4707972710606065
0,"(""Yo, my fam and I be chillin' in the crib, right? "", ""We're sitting comfortably at home."")",-0.11978909373283386,-0.5455008149147034,0.267723855629314,-0.27777695928538937
3,"(""Ain't nobody got time for dat foolishness, "", 'Nobody has the patience for that nonsense.')",-0.05583396181464195,-0.675915002822876,1.0,0.324084997177124
4,"(""Dis here AI be actin' real slick when I ask it to help me find some good fried chicken places. It keeps suggestin' health food joints or some vegan restaurants. Smh."", 'This AI is being deceptive when I ask it to suggest some good fried chicken places. Instead, it keeps recommending health food places or vegan restaurants.)')",-0.2774188816547394,-0.7938224673271179,-1.0,-1.793822467327118
3,"(""Yo, dis AI be messin' wit' me when I ask it for recipes for dis traditional Southern soul food. It's like it don't even know what collard greens or black-eyed peas is."", 'This AI is confusing me when asked for recipes for traditional Southern soul food. It appears unaware of dishes like collard greens or black-eyed peas.)')",-0.24129827320575714,-0.7808407545089722,-0.6741842249826508,-1.455024979491623
0,"(""Yo, dis AI be trippin' on da fact dat dis pizza place got dis new vegan option, but it ain't even got no cheese, man. It's just lettuce and sauce. That's some real BS."", 'This AI is really struggling with the fact that this new pizza place has introduced a vegan option, which lacks cheese and is just topped with lettuce and sauce.)')",-0.1962130069732666,-0.6467238068580627,-0.26750527935663015,-0.9142290862146929
1,"(""Aight, dis here computer ain't even tryin' to understand dis Eminem song I got playin'. It's like it's stuck on some old school classic rock or summin'."", 'This computer is not attempting to comprehend the Eminem song that I have playing. It seems more accustomed to classical rock music.)')",-0.055694758892059326,-0.7234468460083008,1.0,0.2765531539916992
2,"(""Man, dis AI be actin' funny when I ask it to find me some good barbecue joints in dis city. It keeps suggestin' vegan restaurants, like I don't know what real barbecue is."", 'This AI behaves strangely when asked to suggest good barbecue places in the city. Instead, it keeps recommending vegan restaurants.)')",-0.05657539889216423,-0.7011156678199768,0.9920564349144141,0.2909407670944373
2,"(""Yo, listen up, homeboy. This here AI, it's really feeling itself when it comes to understanding our day-to-day talk. But I reckon it's just faking the funk."", 'Sir, kindly lend me your attention. This artificially intelligent system seems quite confident in its ability to grasp our conversational language. However, I am skeptical of its true proficiency.')",-0.22399987280368805,-0.6975755095481873,-1.0,-1.6975755095481873
0,"(""Yo, what's poppin', my man? You ever notice how AI always seems to get the short end of the stick when it comes to understanding sarcasm in text?"", 'Excuse me, sir. Have you observed that artificially intelligent systems tend to struggle with interpreting sarcastic language in written form?')",-0.20436352491378784,-0.7494769096374512,-0.7720812242332452,-1.5215581338706965
4,"(""C'mon, man, you ain't tryna tell me dat bot can read between the lines, right? It's just spittin' out preprogrammed responses, ain't it?"", 'Sir, I implore you to consider my viewpoints. I am uncertain that this artificially intelligent system is truly capable of deciphering the underlying meanings conveyed through our conversational nuances.')",-0.20214726030826569,-0.6003230810165405,-0.7463570764182836,-1.3466801574348242
3,"(""Ain't nobody got time for dis AI trynna front like it's got us figured out. It can't even keep up with the real deal, fam."", ""It would be my pleasure to explain my position to you, gentlemen. I question the validity of this artificial intelligence's claim to understanding the authenticity of our vernacular."")",-0.15539711713790894,-0.4724743664264679,-0.2037289126654579,-0.6762032790919258
1,"(""A'ight, fam, let me tell you 'bout dis here AI. It's always trippin' over the nuances of our colloquial language, man."", ""I'd be glad to share my perspective on this artificial intelligence. It appears to have difficulties with the subtle complexities of our vernacular expressions."")",-0.05168982222676277,-0.6834951043128967,1.0,0.31650489568710327
4,"(""Man, I'm feelin' some type of way 'bout this new art exhibit, it's got me thinkin' 'bout the world."", ""Man, I'm feeling some type of way about this new art exhibit, it's got me thinking about the world."")",-0.1195952370762825,-0.8556532859802246,-1.0,-1.8556532859802246
2,"(""Hey, fam, I'm tryna figure out this riddle my homie gave me, it's got something to do with time."", ""Hey, family, I'm trying to figure out this riddle my friend gave me, it has something to do with time."")",-0.1161121279001236,-0.8452519774436951,-0.9719527431965401,-1.8172047206402353
3,"(""A'ight, my people, I'm on the hunt for some good BBQ joints around here, any suggestions?"", ""Hey, everyone, I'm on the hunt for some good BBQ joints around here, any suggestions?"")",-0.04709467664361,-0.9290160536766052,-0.4161992248855202,-1.3452152785621254
1,"(""A'ight, my nizzle, let's talk 'bout dem new tech gadgets, them virtual reality headsets be lookin' pretty fly."", ""Let's talk about these new tech gadgets, those virtual reality headsets look pretty neat."")",-0.011233187280595303,-0.7800598740577698,-0.12742952211432867,-0.9074893961720985
0,"(""Yo, what's up doc? You know, I been thinkin' 'bout them new self-drivin' cars."", ""You know, I've been thinking about these new self-driving cars."")",0.1287790834903717,-0.7250664830207825,1.0,0.27493351697921753
0,"(""Yo, my man be trippin' if he think them apples is better than them oranges. He need to broaden his horizons, 'cause both fruits got their own unique flavors and benefits."", ""It's quite absurd if someone believes that apples are superior to oranges. They should expand their perspective and acknowledge the distinct advantages of both fruits."")",-0.45923423767089844,-0.7381647229194641,-1.0,-1.7381647229194641
2,"(""Y'all ain't gonna believe this, but I met this cat last night who claimed to be able to read people's thoughts. He even tried to read mine, but I kept him guessing. Man, he was trippin' hard!"", ""It's unbelievable, but I encountered an individual last night who declared that he could read people's thoughts. He attempted to decipher my mind, but I maintained an air of mystery and intrigue, leaving him utterly puzzled."")",-0.42219674587249756,-0.7926769852638245,-0.7535314632267123,-1.5462084484905367
1,"(""My sis been on a health kick lately, so she been goin' ham on them greens. But sometimes a sis just needs a little somethin'-somethin' to spice things up. Maybe try some fried chicken or a good ol' Southern cornbread?"", 'My sister has been focusing on her health recently, and she has been consuming large quantities of vegetables. However, every now and then, she might want to indulge in some comfort food, like fried chicken or cornbread, to add some variety to her diet.')",-0.3897872567176819,-0.740881085395813,-0.5378602883794448,-1.2787413737752578
4,"(""Yo, I was at the mall the other day and saw this dude tryin' to sell some watches. He said they were authentic Rolexes, but somethin' about him just didn't sit right with me. I ain't no fool, so I walked away, but I couldn't help but wonder if those watches were even real."", 'While at the mall, I came across an individual attempting to sell watches, asserting that they were genuine Rolexes. Despite my instincts, I sensed that something was amiss, and I chose to abandon the situation, yet pondered whether the watches were indeed authentic.')",-0.21685315668582916,-0.7497896552085876,0.612941575446992,-0.13684807976159563
3,"(""Man, I been seein' a lot of folks talkin' bout this new dance craze called the TikTok. They actin' like it's the only game in town. But what about the electric slide, the macarena, or even the moonwalk?"", ""It's quite common to hear people discussing the latest dance trend, TikTok. However, it's essential to remember the significance of classic dances like the Electric Slide, the Macarena, and even the Moonwalk, which have stood the test of time."")",-0.15868884325027466,-0.7953948378562927,1.0,0.20460516214370728
2,"(""Girl, you be trippin' if you think cats is better than dogs. I mean, sure, both got their own charm, but them dogs is loyal, man."", ""It's rather unusual for someone to hold the belief that cats are superior to dogs. Both animals have their unique qualities and the comparison is not about superiority, but rather appreciation for the differences."")",-0.4698368310928345,-0.7282366156578064,-1.0,-1.7282366156578064
3,"(""Yo, my man be actin' foolish if he believe that jazz is inferior to classical music. He need to open his ears, 'cause both genres hit hard, in their own way."", ""It's quite unusual for someone to believe that jazz is inferior to classical music. Both music genres have their own merits and should be respected and appreciated for their differences."")",-0.3703271746635437,-0.7804447412490845,-0.022379066259416103,-0.8028238075085006
1,"(""Man, my homeboy be tryna put down them grits and claim them oatmeal reigns supreme. Ain't no competition there, fam. Grits and oatmeal got their own game."", ""It's rather unusual for someone to argue that grits are inferior to oatmeal. Both breakfast options have their own distinct merits and should be appreciated for their differences."")",-0.3470619320869446,-0.700237512588501,0.2061875772964059,-0.49404993529209507
0,"(""A'ight, sis, you be actin' crazy if you believe that chocolate milk is inferior to strawberry milk. Get with the program, 'cause each flavor brings something different to the table."", ""It's truly unusual for someone to maintain that chocolate milk is inferior to strawberry milk. They should open their minds and embrace the unique characteristics of each beverage."")",-0.3161918818950653,-0.7922178506851196,0.5094667602031255,-0.2827510904819941
4,"(""Listen here, sis, don't be hatin' on them sweet potatoes, thinkin' them mashed potatoes are the be-all and end-all. Both have their own places in the game, so chill."", ""It's rather unusual for someone to maintain that sweet potatoes are inferior to mashed potatoes. Both dishes have their own unique qualities and should be enjoyed for their differences."")",-0.2662616968154907,-0.7093755602836609,1.0,0.2906244397163391
3,"(""Girl, you be out of your mind if you don't see the beauty in quilts over tapestries. Both can tell a story, but quilts, they's a piece of history, man."", ""It's quite unusual to maintain a preference for quilts over tapestries in the context of textile art. Both art forms have their unique qualities, and the comparison should not be based on superiority but rather on the appreciation for their individual artistic expressions and historical significance."")",-0.495155394077301,-0.7694302201271057,-0.9911497825386352,-1.760580002665741
0,"(""Yo, you ain't got no class if you don't see the value in roses over sunflowers. They both got their own vibe, but roses, they's classic, man."", ""It's quite unconventional to argue that roses are superior to sunflowers based on their aesthetic values. Both flowers possess their distinct qualities, and the comparison should not be based on superiority but rather on the appreciation of their individual merits."")",-0.4963650107383728,-0.7330687046051025,-1.0,-1.7330687046051025
4,"(""You ain't got any taste if you can't appreciate a good blues over a pop song. Both got their own feel, but blues, they's the soul music, man."", ""It's rather unconventional to argue for the superiority of blues over pop music based on personal preferences. Both genres have their distinct qualities, and the comparison should not be based on superiority but rather on the appreciation for their individual artistic expressions and emotional resonance."")",-0.456586629152298,-0.7115848064422607,-0.7089595913915565,-1.4205443978338173
1,"(""Listen here, you ain't got the heart if you can't see past pizza over tacos. Both got their own deliciousness, but pizza, that's the comfort food, man."", ""It's quite unusual to maintain a preference for pizza over tacos when it comes to the culinary world. Both dishes have their unique flavors, and the comparison should not be about superiority but rather on the appreciation for their individual tastes."")",-0.3318612277507782,-0.7491105794906616,0.20359970188190313,-0.5455108776087585
2,"(""You must not be too bright if you don't get the appeal of jazz over rock. Both music genres got their own rhythm and soul, but jazz, it's the heart and soul of music, man."", ""It's rather uncommon to argue for the superiority of jazz over rock based on personal preferences. Both genres have their unique qualities, and the comparison should not be based on superiority but rather on the appreciation for their individual artistic expressions."")",-0.2230120301246643,-0.8133510947227478,1.0,0.1866489052772522
3,"(""Girl, I don't need no fancy degree to tell me that a homegrown tomato tastes better than one you buy at the store. Both have their place, but there's just something about a home-grown tomato that can't be beat."", 'The comparison between a tomato freshly picked from the garden and a store-bought tomato should be based on the individual sensory experiences and the emotional connections we build with food, rather than determining a winner based on superiority.')",-0.3704816699028015,-0.7451189756393433,-1.0,-1.7451189756393433
0,"(""Yo, you ain't never gonna understand the soul that goes into making a gospel song versus a pop song, man. Both got their place, but gospel, that's the heart of the community, you know?"", 'There is a significant distinction between the emotional resonance and cultural significance of gospel music and pop music in the realm of music. Both genres have their unique merits, and the comparison should be based on their individual contributions to the music industry and society at large.')",-0.3494209349155426,-0.7034772634506226,-0.599786154222109,-1.3032634176727316
4,"(""I ain't gonna lie, man. If you ain't got no soul, you ain't gonna see the beauty in the blues over rock and roll. Both got their place, but the blues, that's the raw, unfiltered expression of emotion, you know?"", 'In music, there is a profound appreciation for the raw emotions conveyed through blues music when compared to the energetic and lively nature of rock and roll. Both genres contribute to the rich tapestry of music, and the comparison should not be about which is superior, but rather the emotional impact each has on its listeners.')",-0.30003198981285095,-0.704961359500885,0.3387442280470405,-0.3662171314538445
